issue,number,state,link
"ConverterError: <unknown>:0: error: loc(callsite(callsite(""map/TensorArrayV2_1@__inference_call_func_18494"" at ""StatefulPartitionedCall@__inference_signature_wrapper_22648"") at ""StatefulPartitionedCall"")): failed to legalize operation 'tf.TensorListReserve' that was explicitly marked illegal <unknown>:0: note: loc(""StatefulPartitionedCall""): called from",47107,closed,https://github.com/tensorflow/tensorflow/issues/47107
ValueError: Data cardinality is ambiguous:   x sizes: 60000   y sizes: 10000 Please provide data which shares the same first dimension.,47106,closed,https://github.com/tensorflow/tensorflow/issues/47106
Data cardinality is ambiguous:   x sizes: 60000   y sizes: 10000 Please provide data which shares the same first dimension.,47105,closed,https://github.com/tensorflow/tensorflow/issues/47105
Do not rely on ADL when invoking std::sort,47104,closed,https://github.com/tensorflow/tensorflow/issues/47104
Snapshot Op Reader::MakeNestedDataset didn't handle the empty shard case properly (divide by 0 error),47103,closed,https://github.com/tensorflow/tensorflow/issues/47103
Fix the bazel build as part of the github continuous integration.,47102,closed,https://github.com/tensorflow/tensorflow/issues/47102
tf.All support as TFlite buildin op,47101,open,https://github.com/tensorflow/tensorflow/issues/47101
NotFoundError:  Resource localhost/_AnonymousVar29/N10tensorflow22SummaryWriterInterfaceE does not exist.,47100,closed,https://github.com/tensorflow/tensorflow/issues/47100
tf.keras.metrics.Metric not returning actual result value over batches,47099,open,https://github.com/tensorflow/tensorflow/issues/47099
Use xa_nnlib for svdf for Fusion F1.,47098,closed,https://github.com/tensorflow/tensorflow/issues/47098
post-quantizing and loading a a trained model in keras using tflite issue,47097,closed,https://github.com/tensorflow/tensorflow/issues/47097
Remove code and scripts related to xtensa_hifi,47096,closed,https://github.com/tensorflow/tensorflow/issues/47096
*system info* ,47095,closed,https://github.com/tensorflow/tensorflow/issues/47095
Add an individual kernel test with Renode to the CI.,47094,closed,https://github.com/tensorflow/tensorflow/issues/47094
Fix LayerNormalization on CPU,47093,closed,https://github.com/tensorflow/tensorflow/issues/47093
RaggedTensor support for sparse_categorical_crossentropy.,47092,open,https://github.com/tensorflow/tensorflow/issues/47092
Calling tf.linalg.expm causes SIGSEGV. ,47091,closed,https://github.com/tensorflow/tensorflow/issues/47091
Loading of shuffle buffer occurs every epoch drastically increasing training time using tf.datasets,47090,closed,https://github.com/tensorflow/tensorflow/issues/47090
tf.keras.metric.Metric.reset_states() fails if state contains variables with rank greater than zero,47089,open,https://github.com/tensorflow/tensorflow/issues/47089
Switching to Cadence HiFi 4 NN Library v2.4.0,47088,closed,https://github.com/tensorflow/tensorflow/issues/47088
NotImplementedError: Cannot convert a symbolic Tensor to a numpy array.,47087,closed,https://github.com/tensorflow/tensorflow/issues/47087
 SavedModel restored in Graph mode under MirroredStrategy crashes global_variables_initializer,47086,closed,https://github.com/tensorflow/tensorflow/issues/47086
"KerasClassifier, GridSearchCV ignore with tf.device('cpu:0')",47085,open,https://github.com/tensorflow/tensorflow/issues/47085
Fix a bug where reordering tf.Transpose is not done correctly,47084,closed,https://github.com/tensorflow/tensorflow/issues/47084
"No gradients provided for any variable, check your graph for ops that do not support gradients, between variables. Problem with tf.cast op",47083,closed,https://github.com/tensorflow/tensorflow/issues/47083
Add GPU implementation for Unique[WithCounts] ops,47082,closed,https://github.com/tensorflow/tensorflow/issues/47082
Multiple GPU tests run redundantly,47081,open,https://github.com/tensorflow/tensorflow/issues/47081
TF Lite Micro person detection example won't make?,47080,closed,https://github.com/tensorflow/tensorflow/issues/47080
model.predict infer batch size from x if x is an array/tensor,47079,closed,https://github.com/tensorflow/tensorflow/issues/47079
micro: prepare to port operator ELU kernel from lite with test,47078,closed,https://github.com/tensorflow/tensorflow/issues/47078
Add an InitializeTarget function that can be specialized for a given target.,47077,closed,https://github.com/tensorflow/tensorflow/issues/47077
"Fix and rename TRANSPOSE_CONV_2D, BATCH_TO_SPACE_ND and SPACE_TO_BATCH_ND",47076,closed,https://github.com/tensorflow/tensorflow/issues/47076
Implement support for RaggedTensors in binary_crossentropy loss.,47075,closed,https://github.com/tensorflow/tensorflow/issues/47075
re-open: Docker Image -e Password:password tensorflow/tensorflow:latest-gpu-jupyter,47074,closed,https://github.com/tensorflow/tensorflow/issues/47074
Reorder lite/micro/kernels/BUILD alphabetically,47073,closed,https://github.com/tensorflow/tensorflow/issues/47073
Tensorlist bug fixes,47072,open,https://github.com/tensorflow/tensorflow/issues/47072
Micro benchmarks is excluded for cortex_m_corstone_300_makefile.inc,47071,open,https://github.com/tensorflow/tensorflow/issues/47071
Some tests are excluded for cortex_m_corstone_300_makefile.inc,47070,open,https://github.com/tensorflow/tensorflow/issues/47070
Add support for masking to the Keras Functional API,47069,closed,https://github.com/tensorflow/tensorflow/issues/47069
QAT model to TFLite strict int8 quantisation - big performance gap,47068,open,https://github.com/tensorflow/tensorflow/issues/47068
TF 2.4 tf.data cached shuffle 35% slower compared to TF 2.3,47067,open,https://github.com/tensorflow/tensorflow/issues/47067
 Request for better installation instructions for TF on Ampere GPUs!,47066,open,https://github.com/tensorflow/tensorflow/issues/47066
please update the release with lib file assets,47065,open,https://github.com/tensorflow/tensorflow/issues/47065
calling GradientTape.gradient inside its context warning even though tape recording is stopped,47064,closed,https://github.com/tensorflow/tensorflow/issues/47064
Fixed person_detection_example for esp32,47063,open,https://github.com/tensorflow/tensorflow/issues/47063
tensorflow/cc/saved_model/README.md is broken,47062,closed,https://github.com/tensorflow/tensorflow/issues/47062
tf.function Out of Memory on non first call,47061,open,https://github.com/tensorflow/tensorflow/issues/47061
Partially infer conv return types,47060,closed,https://github.com/tensorflow/tensorflow/issues/47060
Steps to build dynamic libraries of tflite for raspberry pi and aarch 64(armv8) boards,47059,closed,https://github.com/tensorflow/tensorflow/issues/47059
CUDA_ERROR_NO_BINARY_FOR_GPU on A100 when compiled with CC 7.0,47058,open,https://github.com/tensorflow/tensorflow/issues/47058
Conv2D output shape becomes fully dynamic when only input batch size is dynamic in tf-nightly,47057,closed,https://github.com/tensorflow/tensorflow/issues/47057
Why is snappy compression output buffer size so small?,47056,closed,https://github.com/tensorflow/tensorflow/issues/47056
Added a run_ makefile target for non-test binaries.,47055,closed,https://github.com/tensorflow/tensorflow/issues/47055
"tf.keras.initializers.zeros causes model.save to fail, while tf.keras.initializers.Zeros() works great",47054,closed,https://github.com/tensorflow/tensorflow/issues/47054
Weight becomes untrainable after multiplying with constant ,47053,closed,https://github.com/tensorflow/tensorflow/issues/47053
Prefer std::copy_n to naive for loop,47052,closed,https://github.com/tensorflow/tensorflow/issues/47052
java.lang.IllegalArgumentException: ByteBuffer is not a valid flatbuffer model,47051,closed,https://github.com/tensorflow/tensorflow/issues/47051
ValueError: Cannot iterate over a shape with unknown rank,47050,closed,https://github.com/tensorflow/tensorflow/issues/47050
"""no checkpoint found"" tensorboard projector",47049,closed,https://github.com/tensorflow/tensorflow/issues/47049
Allow cloning of tf.keras.Model subclass,47048,open,https://github.com/tensorflow/tensorflow/issues/47048
c_api_distributed_test creates huge amount of threads and segfaults,47047,open,https://github.com/tensorflow/tensorflow/issues/47047
Deprecate s3 file system,47046,closed,https://github.com/tensorflow/tensorflow/issues/47046
Support RaggedTensors in categorical_crossentropy.,47045,closed,https://github.com/tensorflow/tensorflow/issues/47045
Upload sdists to PyPI,47044,open,https://github.com/tensorflow/tensorflow/issues/47044
TF_SessionRun with multiple inputs gives Segmentation Fault,47043,open,https://github.com/tensorflow/tensorflow/issues/47043
Error when Building Tensorflow 2.4/2.4.1 for C++ with cuda support,47042,closed,https://github.com/tensorflow/tensorflow/issues/47042
TF 2.4.1 with python 3.8.7 (apple silicon with rosetta) terminated by SIGILL on import,47041,open,https://github.com/tensorflow/tensorflow/issues/47041
change tensorfloew file,47040,closed,https://github.com/tensorflow/tensorflow/issues/47040
TF-TRT Dynamic shape mode test for Softmax op converter,47039,closed,https://github.com/tensorflow/tensorflow/issues/47039
AttributeError: module 'tensorflow' has no attribute 'contrib' -->> alterative,47038,closed,https://github.com/tensorflow/tensorflow/issues/47038
shared_embeddings columns BUG: not updated when BP in Estimator which will cause lower metrics in model,47037,open,https://github.com/tensorflow/tensorflow/issues/47037
SIGSEGV - error when using large convolution - GPU,47036,closed,https://github.com/tensorflow/tensorflow/issues/47036
Failing to Cross-Compile TensorFlow Lite C++ for Raspberry Pi,47035,closed,https://github.com/tensorflow/tensorflow/issues/47035
Conv2D feeding into LSTM breaks model for inference,47034,closed,https://github.com/tensorflow/tensorflow/issues/47034
gradient computation fails in graph mode with numpy_function,47033,closed,https://github.com/tensorflow/tensorflow/issues/47033
Setting class_weight in model.fit() with tf.data.Dataset causes error,47032,open,https://github.com/tensorflow/tensorflow/issues/47032
update tensorflow,47031,closed,https://github.com/tensorflow/tensorflow/issues/47031
Merge pull request #1 from tensorflow/master,47030,closed,https://github.com/tensorflow/tensorflow/issues/47030
INFO:tensorflow:Saver not created because there are no variables in the graph to restore,47029,closed,https://github.com/tensorflow/tensorflow/issues/47029
unable to run tensorflow - error ,47028,closed,https://github.com/tensorflow/tensorflow/issues/47028
post_training_integer_quantization issue,47027,closed,https://github.com/tensorflow/tensorflow/issues/47027
"TPU, model.fit : 2GB of RAM limit. tf.version 2.4",47026,closed,https://github.com/tensorflow/tensorflow/issues/47026
Update sqlite to the latest sqlite-amalgamation-3340100,47025,closed,https://github.com/tensorflow/tensorflow/issues/47025
"Issue in converting input output from float 32 to int8(Convert using float fallback quantization),",47024,closed,https://github.com/tensorflow/tensorflow/issues/47024
C++ compilation of rule '//tensorflow/core/kernels/image:extract_image_patches_op' failed,47023,closed,https://github.com/tensorflow/tensorflow/issues/47023
tf.strings.split cannot handle some characters,47022,open,https://github.com/tensorflow/tensorflow/issues/47022
text_dataset_from_directory doesn't work if there isn't at least one subdirectory,47021,open,https://github.com/tensorflow/tensorflow/issues/47021
tf.nn.embedding_lookup outputs NaN,47020,closed,https://github.com/tensorflow/tensorflow/issues/47020
`tf.nn.log_poisson_loss` outputs NaN,47019,closed,https://github.com/tensorflow/tensorflow/issues/47019
Remove the sources containing the models from the TFLM static lib.,47018,closed,https://github.com/tensorflow/tensorflow/issues/47018
Thrown out ValueError when alpha=None is passed for tf.keras.layers.LeakyReLU,47017,closed,https://github.com/tensorflow/tensorflow/issues/47017
Some Optimizers Don't Work on GPU With Embedding Layers,47016,open,https://github.com/tensorflow/tensorflow/issues/47016
[tf.data] eager mode support for experimental benchmarks part2,47015,closed,https://github.com/tensorflow/tensorflow/issues/47015
Remove duplicated implementation of keras.backend.ndim,47014,closed,https://github.com/tensorflow/tensorflow/issues/47014
Distributed mode is giving lower accuracy than standalone mode,47013,closed,https://github.com/tensorflow/tensorflow/issues/47013
Simplify tf.keras.activations.softmax codepath,47012,closed,https://github.com/tensorflow/tensorflow/issues/47012
Simplify shape inference in Keras resize_images,47011,closed,https://github.com/tensorflow/tensorflow/issues/47011
Construct sparse tensor using keras inputs (keras symbolic tensor),47010,closed,https://github.com/tensorflow/tensorflow/issues/47010
[TFLite] Fix resize bilinear tests by raising a too low error_threshold when align_corners is true,47009,closed,https://github.com/tensorflow/tensorflow/issues/47009
RNN + CUDA crashing with a generator,47008,closed,https://github.com/tensorflow/tensorflow/issues/47008
[TF Lite] How to use XNNPACK delegate on Windows?,47007,open,https://github.com/tensorflow/tensorflow/issues/47007
Remove unnecessary set_model overwrite in BackupAndRestore calllback,47006,closed,https://github.com/tensorflow/tensorflow/issues/47006
Don't run nightly update job in forks.,47005,closed,https://github.com/tensorflow/tensorflow/issues/47005
Error in keras.tokenizer.texts_to_sequences,47004,closed,https://github.com/tensorflow/tensorflow/issues/47004
Update pooling.py,47003,closed,https://github.com/tensorflow/tensorflow/issues/47003
Import tensorflow -> Illegal instruction,47002,open,https://github.com/tensorflow/tensorflow/issues/47002
Tensorflow 2.4.1running with cpu but not gpu,47001,closed,https://github.com/tensorflow/tensorflow/issues/47001
tf.train.Server and mirrored strategy..,47000,closed,https://github.com/tensorflow/tensorflow/issues/47000
How could I know the label is correctly read from image_dataset_from_directory?,46999,closed,https://github.com/tensorflow/tensorflow/issues/46999
Documentation mistake in tf.keras.layers.MaxPool2D python section,46998,closed,https://github.com/tensorflow/tensorflow/issues/46998
hello0 alternative error message for failed shape broadcasting,46997,closed,https://github.com/tensorflow/tensorflow/issues/46997
tf.nn.local_response_normalization outputs NaN,46996,open,https://github.com/tensorflow/tensorflow/issues/46996
`tf.nn.weighted_moments` outputs NaN when `axes=[]` and `x` is complex,46995,open,https://github.com/tensorflow/tensorflow/issues/46995
tf.nn.avg_pool/1d/2d/3d outputs NaN if `ksize=0`,46994,closed,https://github.com/tensorflow/tensorflow/issues/46994
`tf.keras.layers.ELU` and  `tf.keras.layers.LeakyReLU` outputs nan if `alpha=None`,46993,closed,https://github.com/tensorflow/tensorflow/issues/46993
"Converting tf.argmax(predicted,axis=0) to numpy array to index the y_labels",46992,closed,https://github.com/tensorflow/tensorflow/issues/46992
[TFL] Fix unbounded activation clip range.,46991,open,https://github.com/tensorflow/tensorflow/issues/46991
Yet Another -1073740791 (0xC0000409),46990,closed,https://github.com/tensorflow/tensorflow/issues/46990
Failed to deploy custom Tensorflow lite select ops .aar to Android,46989,closed,https://github.com/tensorflow/tensorflow/issues/46989
how to find what tensorflow/keras release contains a specific bug fix,46987,closed,https://github.com/tensorflow/tensorflow/issues/46987
Run MIRNet and get Segment Fault on Raspberry Pi Model 3B,46986,closed,https://github.com/tensorflow/tensorflow/issues/46986
Stateful global metrics with multi-device distribution,46985,open,https://github.com/tensorflow/tensorflow/issues/46985
STM32F746NG Hello World LCD Display not working correctly,46984,open,https://github.com/tensorflow/tensorflow/issues/46984
Hard to use a lstm tflite model.,46983,open,https://github.com/tensorflow/tensorflow/issues/46983
Unexpected TFDS Shuffling behavior,46982,closed,https://github.com/tensorflow/tensorflow/issues/46982
Documentation about convolution padding computation is missing,46980,open,https://github.com/tensorflow/tensorflow/issues/46980
why tensorflow has so much ugly designed api?  be pythonic please...,46979,closed,https://github.com/tensorflow/tensorflow/issues/46979
Confiuguration error ,46978,closed,https://github.com/tensorflow/tensorflow/issues/46978
"Is there a error ""DCHECK((ref_.store(0), true));""  of RefCounted::Unref() function.",46977,open,https://github.com/tensorflow/tensorflow/issues/46977
Build with clang support is failing,46976,open,https://github.com/tensorflow/tensorflow/issues/46976
tensorflow not working with RTX 3070 cuda 11.1+cudnn 8.0 and 11.2+cudnn 8.1,46975,open,https://github.com/tensorflow/tensorflow/issues/46975
Fix crash of tf.strings.substr when pos and len have different shapes,46974,closed,https://github.com/tensorflow/tensorflow/issues/46974
Fix crash with tf.transpose when a is complex and conjugate is True,46973,open,https://github.com/tensorflow/tensorflow/issues/46973
How to build tensorflow when making small changes?,46972,open,https://github.com/tensorflow/tensorflow/issues/46972
Tensorflow implementation in Julia,46971,closed,https://github.com/tensorflow/tensorflow/issues/46971
ValueError: ssd_mobilenet_v2 is not supported. See `model_builder.py` for features extractors compatible with different versions of Tensorflow,46970,closed,https://github.com/tensorflow/tensorflow/issues/46970
implement changes necessary to support new bconv2d API in lib_nn,46969,closed,https://github.com/tensorflow/tensorflow/issues/46969
XLA: Allow devices to indicate whether the executable can be run async,46968,closed,https://github.com/tensorflow/tensorflow/issues/46968
Optimised Images,46967,closed,https://github.com/tensorflow/tensorflow/issues/46967
Add CAST and ZEROS_LIKE tests in lite/micro/kernels/BUILD,46966,closed,https://github.com/tensorflow/tensorflow/issues/46966
Integrate CUDNN v8 frontend API for convolution,46965,closed,https://github.com/tensorflow/tensorflow/issues/46965
Move Tensorflow Lite packages off of Bintray / JCenter due to deprecation of Bintray,46964,open,https://github.com/tensorflow/tensorflow/issues/46964
[INTEL MKL] Adding padding_list in mkl quantized conv2d per channel op,46963,closed,https://github.com/tensorflow/tensorflow/issues/46963
Fix kernel_exp_test with the Xtensa toolchain.,46962,closed,https://github.com/tensorflow/tensorflow/issues/46962
tf.data function mapping slower when using tf.GradientTape,46961,open,https://github.com/tensorflow/tensorflow/issues/46961
"TF_LITE_MICRO_EXPECT_NEAR(inf, inf) gives incorrect result for some platforms.",46960,closed,https://github.com/tensorflow/tensorflow/issues/46960
[INTEL MKL] Adding padding list in quantized conv2d per channel,46959,closed,https://github.com/tensorflow/tensorflow/issues/46959
model train InvalidArgumentError:Input is empty,46958,closed,https://github.com/tensorflow/tensorflow/issues/46958
No registered kernels for SobolSample.,46957,closed,https://github.com/tensorflow/tensorflow/issues/46957
TensorFlow custom loss function error- ValueError: No gradients provided for any variable,46956,closed,https://github.com/tensorflow/tensorflow/issues/46956
Deprecate legacy hdfs file system,46955,closed,https://github.com/tensorflow/tensorflow/issues/46955
Makefile fails when setting CO_PROCESSOR=ethos-u,46954,closed,https://github.com/tensorflow/tensorflow/issues/46954
Problems with tf.keras.metrics.CategoricalAccuracy?,46953,open,https://github.com/tensorflow/tensorflow/issues/46953
Bug reported: Tensorflow GPU version(Cuda) may cause thread blocking when calling scripts across languages.  C#.,46952,open,https://github.com/tensorflow/tensorflow/issues/46952
Help understand outputs of Mask RCNN tflite model,46951,closed,https://github.com/tensorflow/tensorflow/issues/46951
TensorFlow with DLPack invokes unexpected data transfers,46950,open,https://github.com/tensorflow/tensorflow/issues/46950
How to use tflite on bert,46949,open,https://github.com/tensorflow/tensorflow/issues/46949
keras LSTM model - a tf 1.15 equivalent that works with tflite,46948,closed,https://github.com/tensorflow/tensorflow/issues/46948
Mobilenet parameters: alpha & rho,46947,closed,https://github.com/tensorflow/tensorflow/issues/46947
Unable to create functional model as slice from internal layer output if it is a Sequential model,46944,open,https://github.com/tensorflow/tensorflow/issues/46944
Reagarding discripency in tensorboard validation accuracy and the one printed during training,46943,closed,https://github.com/tensorflow/tensorflow/issues/46943
Update array_ops.py,46942,closed,https://github.com/tensorflow/tensorflow/issues/46942
tf.keras.backend.random_normal segfault ,46941,open,https://github.com/tensorflow/tensorflow/issues/46941
[TFTRT] Add Dynamic Shape Testing for ConvertConv3D,46940,closed,https://github.com/tensorflow/tensorflow/issues/46940
tf.nn.depth_to_space crash(aborts) with block_size is large,46939,open,https://github.com/tensorflow/tensorflow/issues/46939
`tf.random.learned_unigram_candidate_sampler` crashes(abort) when `range_max` is large,46938,open,https://github.com/tensorflow/tensorflow/issues/46938
Initialization of global pointer variable seems suspect with our current use of Renode.,46937,closed,https://github.com/tensorflow/tensorflow/issues/46937
Cannot create mbed folder,46936,closed,https://github.com/tensorflow/tensorflow/issues/46936
Tensorflow GPU Not Recognizing GPUs,46935,closed,https://github.com/tensorflow/tensorflow/issues/46935
Cannot Install Tensorflow on any version of Python 3.8,46934,closed,https://github.com/tensorflow/tensorflow/issues/46934
Ubuntu 20.10 and 3090 with CUDA 11.0 and cuDNN 8.0: ptxas fatal   : Value 'sm_86' is not defined for option 'gpu-name',46933,closed,https://github.com/tensorflow/tensorflow/issues/46933
[INTEL MKL] Supporting 2 inputs for  Mkl dequantize op,46932,closed,https://github.com/tensorflow/tensorflow/issues/46932
MultiWorkerMirroredStrategy() hanging,46931,closed,https://github.com/tensorflow/tensorflow/issues/46931
Subgraph search & replace (graph surgery),46930,closed,https://github.com/tensorflow/tensorflow/issues/46930
Possible bug: tf2 raise `OverflowError: Python int too large to convert to C long` for `feature_column.crossed_column`,46929,open,https://github.com/tensorflow/tensorflow/issues/46929
Cannot run LSTM in tensorflow lite 1.15 ,46928,closed,https://github.com/tensorflow/tensorflow/issues/46928
PPO implementation does not converge,46927,closed,https://github.com/tensorflow/tensorflow/issues/46927
Output range changes when converted to TFLite,46926,closed,https://github.com/tensorflow/tensorflow/issues/46926
TF.js Error: TensorList shape mismatch:  Shapes -1 and 3 must match,46925,closed,https://github.com/tensorflow/tensorflow/issues/46925
RuntimeError: Encountered unresolved custom op: TensorArrayV3.Node number 3 (TensorArrayV3) failed to prepare.,46924,closed,https://github.com/tensorflow/tensorflow/issues/46924
Training is different depending on loss function being decorate with tf.function or not,46923,open,https://github.com/tensorflow/tensorflow/issues/46923
[quantization] Post-training quantization using TFLiteConverter isn't working in TF 2.3,46922,open,https://github.com/tensorflow/tensorflow/issues/46922
MeanIoU not ignoring background,46921,open,https://github.com/tensorflow/tensorflow/issues/46921
tf.abs() crashes when dtype=float32,46920,closed,https://github.com/tensorflow/tensorflow/issues/46920
"In tf.keras, can i use model(x).numpy() with disable_eager_execution()?",46919,closed,https://github.com/tensorflow/tensorflow/issues/46919
Model is working fine in CPU but in GPU it consumes all RAM. ,46918,closed,https://github.com/tensorflow/tensorflow/issues/46918
TypeError: can't pickle _thread.RLock objects when using multiprocessing,46917,closed,https://github.com/tensorflow/tensorflow/issues/46917
window10 make file error,46916,closed,https://github.com/tensorflow/tensorflow/issues/46916
tf.nn.atrous_conv2d crashes(aborts) when rate is large value,46915,open,https://github.com/tensorflow/tensorflow/issues/46915
tf.keras.layers.UpSampling2D crashes(aborts) when size is large,46914,open,https://github.com/tensorflow/tensorflow/issues/46914
tf.keras.layers.RepeatVector crashes(aborts) when n is large,46913,open,https://github.com/tensorflow/tensorflow/issues/46913
`tf.sparse.eye` crashes(aborts) when num_rows contains large number,46912,open,https://github.com/tensorflow/tensorflow/issues/46912
tf.keras.backend.tile crash(aborts) when n is large,46911,open,https://github.com/tensorflow/tensorflow/issues/46911
tf.quantization.fake_quant_with_min_max_vars(_gradient) crash(abort),46910,open,https://github.com/tensorflow/tensorflow/issues/46910
tf.summary.create_file_writer aborts ,46909,open,https://github.com/tensorflow/tensorflow/issues/46909
tf.nn.softmax_cross_entropy_with_logits and tf.keras.backend.categorical_crossentropy crash(abort),46908,open,https://github.com/tensorflow/tensorflow/issues/46908
Tokenizer doesn't work with string tensors (AttributeError),46907,open,https://github.com/tensorflow/tensorflow/issues/46907
Use the right input_dims[] in lite/micro/kernels/cast_test.cc,46906,closed,https://github.com/tensorflow/tensorflow/issues/46906
libtensorflowlite_flex_jni.so not found when using tensorflow-lite.aar,46905,closed,https://github.com/tensorflow/tensorflow/issues/46905
Add a MicroPrintf function that is independent of the ErrorReporter.,46904,closed,https://github.com/tensorflow/tensorflow/issues/46904
Use the right input_dims[] in lite/micro/kernels/exp_test.cc,46903,closed,https://github.com/tensorflow/tensorflow/issues/46903
Cannot Compile TF-Nightly with CUDA 11.2 and CUDNN 8.1,46902,closed,https://github.com/tensorflow/tensorflow/issues/46902
Fold StridedSliceOp when input is defined by ShapeOp.,46901,closed,https://github.com/tensorflow/tensorflow/issues/46901
tf.strings.substr crashes(aborts) ,46900,closed,https://github.com/tensorflow/tensorflow/issues/46900
tf.ragged.range and  tf.range crash (abort) when `start` is large,46899,open,https://github.com/tensorflow/tensorflow/issues/46899
`tf.random.fixed_unigram_candidate_sampler` crashes(abort) when `vocab_file` is invalid,46898,open,https://github.com/tensorflow/tensorflow/issues/46898
tf.sparse.segment_sqrt_n/sum crashes(abort) when segment_ids is large uint,46897,open,https://github.com/tensorflow/tensorflow/issues/46897
"Custom ""Best"" Metric Not Tracking Best Accuracy",46896,closed,https://github.com/tensorflow/tensorflow/issues/46896
Finish porting micro op zeros_like and its testing code,46895,closed,https://github.com/tensorflow/tensorflow/issues/46895
Automatically treat dataclasses as pytrees,46894,open,https://github.com/tensorflow/tensorflow/issues/46894
Add missing exception to Model.fit() docstring,46893,closed,https://github.com/tensorflow/tensorflow/issues/46893
[ROCm]  Update to use ROCm 4.0.1 (when building TF with --config=rocm) ,46892,closed,https://github.com/tensorflow/tensorflow/issues/46892
tf.transpose crashes(abort) if `a` is complex,46891,open,https://github.com/tensorflow/tensorflow/issues/46891
tf.image.resize/resize_with_crop_or_pad/pad_to_bounding_box/extract_glimpse crash(abort),46890,open,https://github.com/tensorflow/tensorflow/issues/46890
tf.keras.backend.arange crash (abort) when start is large,46889,open,https://github.com/tensorflow/tensorflow/issues/46889
tf.math.segment_max/min/mean/sun/prod crashes(aborts) when segment_ids is large,46888,open,https://github.com/tensorflow/tensorflow/issues/46888
`tf.math.floormod` crashes(floating point exception) when x is large,46887,open,https://github.com/tensorflow/tensorflow/issues/46887
[ROCm] Workaround for a LLVM crash when doing codegen for MLIR generated Cast kernel,46886,closed,https://github.com/tensorflow/tensorflow/issues/46886
Tensorflow lite return zero in the third running time.,46885,open,https://github.com/tensorflow/tensorflow/issues/46885
Update nn_impl.py,46884,closed,https://github.com/tensorflow/tensorflow/issues/46884
"give list of images instead of directory to ""flow_from_directory"" in keras image data generator.",46883,closed,https://github.com/tensorflow/tensorflow/issues/46883
No UInt8 support for logistic operator in TFLu,46882,open,https://github.com/tensorflow/tensorflow/issues/46882
TFLite C API: add cmake support,46881,closed,https://github.com/tensorflow/tensorflow/issues/46881
micro: port operator FLOOR_DIV kernel from lite with test,46880,open,https://github.com/tensorflow/tensorflow/issues/46880
Keras UpSampling2D layer is converted with a `shape` op that should be constant-folded away,46879,closed,https://github.com/tensorflow/tensorflow/issues/46879
RaggedTensor support for mean_squared_logarithmic_error.,46878,closed,https://github.com/tensorflow/tensorflow/issues/46878
Update README.md :Added TensorFlow: Advanced Techniques Specialization to resources tab,46877,closed,https://github.com/tensorflow/tensorflow/issues/46877
Add support for RaggedTensors to mean_absolute_percentage_error.,46876,closed,https://github.com/tensorflow/tensorflow/issues/46876
Add ragged tensor support to mean_absolute_error.,46875,closed,https://github.com/tensorflow/tensorflow/issues/46875
fix typo,46874,closed,https://github.com/tensorflow/tensorflow/issues/46874
TFLu: Add UInt8 support for logistic operator,46873,open,https://github.com/tensorflow/tensorflow/issues/46873
[BUG]ConvertGraphDefToGraph return an invalid tensorflow::Graph,46872,closed,https://github.com/tensorflow/tensorflow/issues/46872
RuntimeError: Unable to create link (name already exists),46871,closed,https://github.com/tensorflow/tensorflow/issues/46871
Crash when Dense 2D without Bias on Android GPU Delegate,46870,open,https://github.com/tensorflow/tensorflow/issues/46870
[Graph C API] Util API,46869,closed,https://github.com/tensorflow/tensorflow/issues/46869
[Graph C API] Registration API,46868,closed,https://github.com/tensorflow/tensorflow/issues/46868
Shakespeare's style writing generation model cannot be exported with TensorFlow 2.3,46867,closed,https://github.com/tensorflow/tensorflow/issues/46867
A mistake code on Model Maker Guide,46866,closed,https://github.com/tensorflow/tensorflow/issues/46866
[INTEL MKL] oneDNN partials and Dockerfiles for CentOS 7,46865,closed,https://github.com/tensorflow/tensorflow/issues/46865
Improve MicroProfiler and make per-op profiling the default in the benchmarks.,46864,closed,https://github.com/tensorflow/tensorflow/issues/46864
[Keras Fit & Compile] Horovod worker desynchronization - Potentially deadlock training TF 2.4,46863,closed,https://github.com/tensorflow/tensorflow/issues/46863
[TFLM] Keyword benchmark broken when using generated Makefile project,46862,closed,https://github.com/tensorflow/tensorflow/issues/46862
Add missing import to compile micro kernels on Windows.,46861,open,https://github.com/tensorflow/tensorflow/issues/46861
[TFLM] keyword benchmark broken when using generated Makefile projects,46860,closed,https://github.com/tensorflow/tensorflow/issues/46860
Requesting MatrixDeterminant op in tflite,46859,closed,https://github.com/tensorflow/tensorflow/issues/46859
InaccessibleTensorError in custom Model using add_loss and build,46858,open,https://github.com/tensorflow/tensorflow/issues/46858
LU solve output shape incorrect for wildcard batched inputs,46857,open,https://github.com/tensorflow/tensorflow/issues/46857
TFLite: tools: make: remove test_delegate_providers.cc from the build resources for libtensorflow-lite.a,46856,closed,https://github.com/tensorflow/tensorflow/issues/46856
"Training freezed at last batch of first epoch , not starting validation generator",46855,open,https://github.com/tensorflow/tensorflow/issues/46855
Windows GUI application: ptxas.exe spawns a blank console window,46854,open,https://github.com/tensorflow/tensorflow/issues/46854
Cannot use load_model when using a layer with dynamic = True and saving to hdf5 format,46853,open,https://github.com/tensorflow/tensorflow/issues/46853
experimental apis in iOS pod is missing.,46852,open,https://github.com/tensorflow/tensorflow/issues/46852
